"date","close","volume","open","high","low"
"2019/04/04","287.1800","48868830.0000","286.7800","287.4590","286.0100"
"2019/04/03","286.4200","68027480.0000","287.3200","287.7600","285.7500"
"2019/04/02","285.9700","39939210.0000","286.0400","286.2300","285.0900"
"2019/04/01","285.8300","77289510.0000","284.7000","286.1600","284.4000"
"2019/03/29","282.4800","81882480.0000","282.3900","282.8400","281.1400"
"2019/03/28","280.7100","55987830.0000","280.3500","281.2100","279.0700"
"2019/03/27","279.6500","72092750.0000","281.1100","281.7600","277.9300"
"2019/03/26","281.1200","67884060.0000","280.9900","282.1800","279.5600"
"2019/03/25","279.0400","84898680.0000","278.8700","280.1853","277.6400"
"2019/03/22","279.2500","122400900.0000","283.2200","283.8034","279.1800"
"2019/03/21","284.7300","79394020.0000","280.6400","285.1800","280.5900"
"2019/03/20","281.5500","84349430.0000","282.1600","283.5000","280.3200"
"2019/03/19","282.4000","90060530.0000","283.5100","284.3600","281.4100"
"2019/03/18","282.3300","61813150.0000","281.5500","282.6600","281.3000"
"2019/03/15","281.3100","80558110.0000","280.5400","282.2100","280.3300"
"2019/03/14","281.1600","67354180.0000","281.3700","281.8400","280.6662"
"2019/03/13","281.3400","80111580.0000","280.4800","282.3800","280.3000"
"2019/03/12","279.4900","79432230.0000","279.0600","280.0700","278.8500"
"2019/03/11","278.4400","64752480.0000","275.2600","278.6200","275.2300"
"2019/03/08","274.4600","85634780.0000","272.9400","274.6500","272.4200"
"2019/03/07","275.0100","94692650.0000","276.8300","276.9900","274.0700"
"2019/03/06","277.3300","74824560.0000","279.1500","279.1600","276.9700"
"2019/03/05","279.0200","58813100.0000","279.5400","279.7600","278.4100"
"2019/03/04","279.4000","106181700.0000","281.6000","281.8700","276.8400"
"2019/03/01","280.4200","77586110.0000","280.4400","280.8800","278.8200"
"2019/02/28","278.6800","69048080.0000","278.9600","279.4500","278.3200"
"2019/02/27","279.2000","56131350.0000","278.5200","279.5900","277.4800"
"2019/02/26","279.3200","56491990.0000","279.1300","280.3000","278.9000"
"2019/02/25","279.5200","68642630.0000","280.7300","281.3100","279.4300"
"2019/02/22","279.1400","77132070.0000","278.1100","279.3600","277.4029"
"2019/02/21","277.4200","63984460.0000","277.7000","278.1000","276.3450"
"2019/02/20","278.4100","76479570.0000","277.8100","278.9200","277.2500"
"2019/02/19","277.8500","58802310.0000","276.4810","278.5800","276.4700"
"2019/02/15","277.3700","96744830.0000","276.3600","277.4100","276.1300"
"2019/02/14","274.3800","82409970.0000","273.7800","275.6400","272.8700"
"2019/02/13","274.9900","64930780.0000","275.0300","275.9300","274.5600"
"2019/02/12","274.1000","71990420.0000","272.4200","274.5200","272.3400"
"2019/02/11","270.6200","67807910.0000","271.2000","271.4900","270.0300"
"2019/02/08","270.4700","75742440.0000","268.7500","270.5800","267.8300"
"2019/02/07","270.1400","95030290.0000","270.9400","271.5500","268.2900"
"2019/02/06","272.7400","58009950.0000","272.7900","273.3400","271.9200"
"2019/02/05","273.1000","79447070.0000","272.4400","273.4400","271.8800"
"2019/02/04","271.9600","60610790.0000","270.1100","272.0300","269.3600"
"2019/02/01","270.0600","85738850.0000","270.1500","271.2000","269.1800"
"2019/01/31","269.9300","103347200.0000","267.5100","270.4700","267.2700"
"2019/01/30","267.5800","92069900.0000","265.1000","268.5200","264.2500"
"2019/01/29","263.4100","65024130.0000","263.9200","264.5500","262.4800"
"2019/01/28","263.7600","85027280.0000","263.3900","263.8300","261.7900"
"2019/01/25","265.7800","96838230.0000","265.6100","266.7000","263.6595"
"2019/01/24","263.5500","58643080.0000","263.2100","264.2000","262.0800"
"2019/01/23","263.4100","84305190.0000","264.0100","264.7900","260.6600"
"2019/01/22","262.8600","115253300.0000","264.8200","265.0600","261.0600"
"2019/01/18","266.4600","124175900.0000","264.9800","266.9800","262.9980"
"2019/01/17","262.9600","94873800.0000","260.0100","263.9200","259.9600"
"2019/01/16","260.9800","77489420.0000","260.8300","261.9666","260.6000"
"2019/01/15","260.3500","84892580.0000","257.8200","260.7000","257.8100"
"2019/01/14","257.4000","69913980.0000","256.8600","258.3000","256.4100"
"2019/01/11","258.9800","72812270.0000","257.6800","259.0098","257.0300"
"2019/01/10","258.8800","96462500.0000","256.2600","259.1600","255.5000"
"2019/01/09","257.9700","94640560.0000","257.5600","258.9100","256.1900"
"2019/01/08","256.7700","101804900.0000","256.8200","257.3100","254.0000"
"2019/01/07","254.3800","102307400.0000","252.6900","255.9500","251.6900"
"2019/01/04","252.3900","142444500.0000","247.5900","253.1100","247.1700"
"2019/01/03","244.2100","142029300.0000","248.2300","248.5700","243.6700"
"2019/01/02","250.1800","126041700.0000","245.9800","251.2100","245.9500"
"2018/12/31","249.9200","143399900.0000","249.5600","250.1900","247.4700"
"2018/12/28","247.7500","152931300.0000","249.5800","251.4000","246.4500"
"2018/12/27","248.0700","184664900.0000","242.5700","248.2900","238.9600"
"2018/12/26","246.1800","217567600.0000","235.9700","246.1800","233.7600"
"2018/12/24","234.3400","147311600.0000","239.0400","240.8355","234.2700"
"2018/12/21","240.7000","252779300.0000","246.7400","249.7100","239.9800"
"2018/12/20","247.1700","247438000.0000","249.8600","251.6200","244.6500"
"2018/12/19","251.2600","214312900.0000","255.1700","259.4000","249.3500"
"2018/12/18","255.0800","133073600.0000","257.2000","257.9500","253.2800"
"2018/12/17","255.3600","165088800.0000","259.4000","260.6500","253.5250"
"2018/12/14","260.4700","116727700.0000","262.9600","264.0300","259.8500"
"2018/12/13","265.3700","96168730.0000","266.5200","267.4900","264.1200"
"2018/12/12","265.4600","97670090.0000","267.4700","269.0000","265.3700"
"2018/12/11","264.1300","120632500.0000","267.6600","267.8700","262.4800"
"2018/12/10","264.0700","151022400.0000","263.3700","265.1613","258.6200"
"2018/12/07","263.5700","160872400.0000","269.4600","271.2200","262.6300"
"2018/12/06","269.8400","203716500.0000","265.9200","269.9700","262.4400"
"2018/12/04","270.2500","176092500.0000","278.3700","278.8500","269.9000"
"2018/12/03","279.3000","102782300.0000","280.2800","280.4000","277.5050"
"2018/11/30","275.6500","95107720.0000","273.8100","276.2800","273.4500"
"2018/11/29","273.9800","81616860.0000","273.7100","275.5500","272.4300"
"2018/11/28","274.5800","127124600.0000","269.6000","274.5800","268.3272"
"2018/11/27","268.4000","75273810.0000","266.3400","268.4000","265.6600"
"2018/11/26","267.5000","79705470.0000","265.7800","267.7500","265.3400"
"2018/11/23","263.2500","42807880.0000","263.1800","264.8234","263.0700"
"2018/11/21","265.0200","73868530.0000","265.8600","267.1500","265.0100"
"2018/11/20","264.1200","135506200.0000","265.3600","267.0000","263.1500"
"2018/11/19","269.1000","102555300.0000","273.0500","273.3800","268.0700"
"2018/11/16","273.7300","126601900.0000","271.7900","274.7500","271.2100"
"2018/11/15","273.0200","134732600.0000","268.7800","273.5400","267.0102"
"2018/11/14","270.2000","124389400.0000","274.1600","274.6100","268.4500"
"2018/11/13","272.0600","97769120.0000","273.0900","275.3250","271.2500"
"2018/11/12","272.5700","99129960.0000","277.1900","277.4600","271.9900"
"2018/11/09","277.7600","98751520.0000","279.0300","279.2400","276.1800"
"2018/11/08","280.5000","65315460.0000","280.1100","281.2200","279.2200"
"2018/11/07","281.0100","102473700.0000","277.5600","281.1000","277.0800"
"2018/11/06","275.1200","58983590.0000","273.3200","275.3000","273.2500"
"2018/11/05","273.3900","65439740.0000","272.4400","274.0100","271.3500"
"2018/11/02","271.8900","122439600.0000","274.7500","275.2300","269.5900"
"2018/11/01","273.5100","98741380.0000","271.6000","273.7300","270.3800"
"2018/10/31","270.6300","127608600.0000","270.6500","273.2300","270.1200"
"2018/10/30","267.7700","156591000.0000","263.6700","268.1200","263.1200"
"2018/10/29","263.8600","159000800.0000","268.8000","270.2500","259.8500"
"2018/10/26","265.3300","201334300.0000","265.9200","271.0000","262.2900"
"2018/10/25","270.0800","137407500.0000","267.3800","271.8100","266.2300"
"2018/10/24","265.3200","175529100.0000","273.3300","273.7600","264.7000"
"2018/10/23","273.6100","145303800.0000","270.9500","274.8700","268.6100"
"2018/10/22","275.0100","82135740.0000","277.0000","277.3600","274.4100"
"2018/10/19","276.2500","139420600.0000","277.1300","279.3000","275.4700"
"2018/10/18","276.4000","134193100.0000","279.4000","280.0700","274.9700"
"2018/10/17","280.4500","110264900.0000","280.4400","281.1500","277.5600"
"2018/10/16","280.4000","118066700.0000","276.6000","280.8200","276.0700"
"2018/10/15","274.4000","101950500.0000","275.5500","277.0400","274.3000"
"2018/10/12","275.9500","182875500.0000","276.7700","277.0900","272.3700"
"2018/10/11","272.1700","272817700.0000","277.0800","278.9000","270.3600"
"2018/10/10","278.3000","211986800.0000","286.8300","286.9100","277.8800"
"2018/10/09","287.4000","74119800.0000","287.3900","288.8600","286.7700"
"2018/10/08","287.8200","87632150.0000","287.0500","288.2200","285.5000"
"2018/10/05","287.8200","105802000.0000","289.6900","290.2700","286.2200"
"2018/10/04","289.4400","111364900.0000","291.1800","291.2400","287.6600"
"2018/10/03","291.7200","64562270.0000","292.7400","293.2100","291.3200"
"2018/10/02","291.5600","47142170.0000","291.5600","292.3550","291.1400"
"2018/10/01","291.7300","61989950.0000","292.1100","292.9300","290.9800"
"2018/09/28","290.7200","70041610.0000","289.9900","291.2800","289.9500"
"2018/09/27","290.6900","59169340.0000","290.4100","291.9100","290.1000"
"2018/09/26","289.8800","79534430.0000","290.9100","292.2400","289.4100"
"2018/09/25","290.7500","44311990.0000","291.5300","291.6500","290.4833"
"2018/09/24","291.0200","53235550.0000","291.3400","291.5000","290.3700"
"2018/09/21","291.9900","105393700.0000","293.0900","293.2200","291.8100"
"2018/09/20","293.5800","100066700.0000","292.6400","293.9400","291.2363"
"2018/09/19","291.2200","48973100.0000","290.9700","291.6900","290.8250"
"2018/09/18","290.9100","61839370.0000","289.5800","291.5800","289.5500"
"2018/09/17","289.3400","67988580.0000","290.8200","290.8600","289.0300"
"2018/09/14","290.8800","54931910.0000","291.0600","291.2700","290.0000"
"2018/09/13","290.8300","50918630.0000","290.3200","291.0384","289.9950"
"2018/09/12","289.1200","59732730.0000","289.0600","289.8000","288.2300"
"2018/09/11","289.0500","50392160.0000","287.3700","289.5500","286.9750"
"2018/09/10","288.1000","49916740.0000","288.7400","289.0400","287.8800"
"2018/09/07","287.6000","72113310.0000","286.9800","288.7000","286.7100"
"2018/09/06","288.1600","65822170.0000","289.1500","289.4900","287.0000"
"2018/09/05","289.0300","71962480.0000","289.4100","289.6400","287.8900"
"2018/09/04","289.8100","57127320.0000","289.8400","290.2100","288.6800"
"2018/08/31","290.3100","65239910.0000","289.8400","290.8100","289.2900"
"2018/08/30","290.3000","61132280.0000","290.9400","291.3600","289.6300"
"2018/08/29","291.4800","61428440.0000","290.1600","291.7400","289.8854"
"2018/08/28","289.9200","46825850.0000","290.3000","290.4175","289.4000"
"2018/08/27","289.7800","56960210.0000","288.8600","289.9000","288.6800"
"2018/08/24","287.5100","57455140.0000","286.4400","287.6700","286.3800"
"2018/08/23","285.7900","49159070.0000","285.9700","286.9400","285.4300"
"2018/08/22","286.1700","44860080.0000","285.8800","286.7600","285.5750"
"2018/08/21","286.3400","66735600.0000","286.2500","287.3100","285.7135"
"2018/08/20","285.6700","39617170.0000","285.5700","285.9700","285.0600"
"2018/08/17","285.0600","65486180.0000","283.8300","285.5601","283.3700"
"2018/08/16","284.0600","69735140.0000","283.4000","285.0400","283.3600"
"2018/08/15","281.7800","102770900.0000","282.3800","282.5400","280.1600"
"2018/08/14","283.9000","43699800.0000","282.9200","284.1700","282.4833"
"2018/08/13","282.1000","65603520.0000","283.4700","284.1600","281.7700"
"2018/08/10","283.1600","76861430.0000","283.4500","284.0550","282.3600"
"2018/08/09","285.0700","35577000.0000","285.5300","285.9700","284.9150"
"2018/08/08","285.4600","41980470.0000","285.3900","285.9100","284.9400"
"2018/08/07","285.5800","43055550.0000","285.3900","286.0100","285.2400"
"2018/08/06","284.6400","39089820.0000","283.6400","284.9900","283.2015"
"2018/08/03","283.6000","53903840.0000","282.5300","283.6577","282.3300"
"2018/08/02","282.3900","63362570.0000","279.3900","282.5800","279.1600"
"2018/08/01","280.8600","53750270.0000","281.5600","282.1300","280.1315"
"2018/07/31","281.3300","68048690.0000","280.8100","282.0200","280.3800"
"2018/07/30","279.9500","63129490.0000","281.5100","281.6900","279.3600"
"2018/07/27","281.4200","76745550.0000","283.7100","283.8200","280.3800"
"2018/07/26","283.3400","57764990.0000","283.2000","284.1100","283.0900"
"2018/07/25","284.0100","78136310.0000","281.3300","284.3700","281.2800"
"2018/07/24","281.6100","67830670.0000","281.7900","282.5600","280.6300"
"2018/07/23","280.2000","46971110.0000","279.4500","280.4300","279.0600"
"2018/07/20","279.6800","83120620.0000","279.7700","280.4800","279.5000"
"2018/07/19","280.0000","61337540.0000","280.3100","280.7400","279.4600"
"2018/07/18","281.0600","44475860.0000","280.5600","281.1800","280.0600"
"2018/07/17","280.4700","52171530.0000","278.4700","280.9100","278.4100"
"2018/07/16","279.3400","48070320.0000","279.6400","279.8030","278.8400"
"2018/07/13","279.5900","48211510.0000","279.1700","279.9300","278.6600"
"2018/07/12","279.3700","59986150.0000","278.2800","279.4300","277.6000"
"2018/07/11","276.8600","76905490.0000","277.1500","278.0400","276.5200"
"2018/07/10","278.9000","51162450.0000","278.4100","279.0100","278.0800"
"2018/07/09","277.9000","49652160.0000","276.5500","277.9600","276.5000"
"2018/07/06","275.4200","66414600.0000","273.1400","275.8400","272.7150"
"2018/07/05","273.1100","56621680.0000","272.1700","273.1800","270.9600"
"2018/07/03","270.9000","42187070.0000","272.8700","272.9800","270.4200"
"2018/07/02","271.8600","63370550.0000","269.5100","272.0400","269.2400"
"2018/06/29","271.2800","97444490.0000","272.1200","273.6600","271.1495"
"2018/06/28","270.8900","76511740.0000","269.2900","271.7500","268.4900"
"2018/06/27","269.3500","104838900.0000","272.2600","273.8650","269.1800"
"2018/06/26","271.6000","68525150.0000","271.6400","272.5600","270.7900"
"2018/06/25","271.0000","137668700.0000","273.4400","273.6162","269.1000"
"2018/06/22","274.7400","56516380.0000","275.6600","275.7850","274.4900"
"2018/06/21","274.2400","70864990.0000","275.9600","275.9800","273.6800"
"2018/06/20","275.9700","53652060.0000","276.2700","276.7200","275.5900"
"2018/06/19","275.5000","97395160.0000","274.0000","275.7500","273.5300"
"2018/06/18","276.5600","52549580.0000","275.4900","276.7000","274.9500"
"2018/06/15","277.1300","119448800.0000","276.6000","277.5100","275.3500"
"2018/06/14","278.7300","76394330.0000","279.0100","279.3300","278.0599"
"2018/06/13","278.0300","78889800.0000","279.1900","279.4800","277.8000"
"2018/06/12","278.9200","72240090.0000","279.0300","279.3300","278.1900"
"2018/06/11","278.5600","58757260.0000","278.4400","279.3700","278.3100"
"2018/06/08","278.1900","71981550.0000","276.8500","278.2500","276.6600"
"2018/06/07","277.3700","72882070.0000","277.9500","278.2800","276.3400"
"2018/06/06","277.4000","62498610.0000","275.7900","277.5200","275.0900"
"2018/06/05","275.1000","50988090.0000","275.0500","275.5300","274.1800"
"2018/06/04","274.9000","45188240.0000","274.5300","275.1850","274.2600"
"2018/06/01","273.6000","71088010.0000","272.4100","273.9400","272.3300"
"2018/05/31","270.9400","93426970.0000","272.1500","272.4900","270.2550"
"2018/05/30","272.6100","69396900.0000","270.5000","273.1100","270.4200"
"2018/05/29","269.0200","115692100.0000","270.3100","271.1700","267.7600"
"2018/05/25","272.1500","56329040.0000","272.1500","272.8600","271.5800"
"2018/05/24","272.8000","75966080.0000","272.9100","273.2200","270.7800"
"2018/05/23","273.3600","64605540.0000","271.1700","273.3900","270.9900"
"2018/05/22","272.6100","52880880.0000","273.9600","274.2500","272.2400"
"2018/05/21","273.3700","57738110.0000","273.0100","273.9800","271.3512"
"2018/05/18","271.3300","64174990.0000","271.6200","272.0300","270.9300"
"2018/05/17","272.0100","56371150.0000","271.9400","273.2300","271.1300"
"2018/05/16","272.2400","53759700.0000","271.1400","272.7600","271.1100"
"2018/05/15","271.1000","86876380.0000","271.5900","271.6100","270.0300"
"2018/05/14","272.9800","54702570.0000","273.3400","274.0800","272.3600"
"2018/05/11","272.8500","59725680.0000","272.1600","273.1500","271.5800"
"2018/05/10","272.0200","70764000.0000","270.3400","272.3900","270.2200"
"2018/05/09","269.5000","59538590.0000","267.6800","269.8650","267.0900"
"2018/05/08","266.9200","67338050.0000","266.5000","267.3250","265.1500"
"2018/05/07","266.9200","55054350.0000","266.8900","268.0200","266.1100"
"2018/05/04","266.0200","91154240.0000","261.5200","266.7892","261.1500"
"2018/05/03","262.6200","136144700.0000","262.2600","263.3600","259.0500"
"2018/05/02","263.2000","85501550.0000","264.7600","265.6800","262.7600"
"2018/05/01","264.9800","75986700.0000","263.8700","265.1000","262.1100"
"2018/04/30","264.5100","80475460.0000","267.2600","267.8900","264.4300"
"2018/04/27","266.5600","57021920.0000","267.0000","267.3400","265.5000"
"2018/04/26","266.3100","67441210.0000","264.7900","267.2452","264.2900"
"2018/04/25","263.6300","103238300.0000","262.9100","264.1300","260.8500"
"2018/04/24","262.9800","112734000.0000","267.7300","267.9762","261.2800"
"2018/04/23","266.5700","65463180.0000","267.2600","267.8900","265.3500"
"2018/04/20","266.6100","99469420.0000","268.8100","269.0600","265.6100"
"2018/04/19","268.8900","77570630.0000","269.6500","269.8800","267.7200"
"2018/04/18","270.3900","57073780.0000","270.6900","271.3000","269.8700"
"2018/04/17","270.1900","64011070.0000","269.3300","270.8700","268.7500"
"2018/04/16","267.3300","62762920.0000","267.0000","268.2000","266.0700"
"2018/04/13","265.1500","84883690.0000","267.4100","267.5400","264.0100"
"2018/04/12","265.9300","68430410.0000","265.2600","267.0000","265.0600"
"2018/04/11","263.7600","91002710.0000","263.4700","265.6400","263.3900"
"2018/04/10","265.1500","105267300.0000","264.2700","266.0400","262.9800"
"2018/04/09","261.0000","104953500.0000","261.3700","264.8400","259.9356"
"2018/04/06","259.7200","179290700.0000","263.4200","265.1100","258.0000"
"2018/04/05","265.6400","80939550.0000","265.5500","266.6400","264.3200"
"2018/04/04","263.5600","123488600.0000","256.7500","264.3550","256.6000"
"2018/04/03","260.7700","119649600.0000","258.8700","261.3100","256.8400"
"2018/04/02","257.4700","185059000.0000","262.5500","263.1300","254.6700"
"2018/03/29","263.1500","123918900.0000","261.1200","265.2600","259.8389"
"2018/03/28","259.8300","146259600.0000","260.7500","262.6400","258.5800"
"2018/03/27","260.6000","129121800.0000","266.1700","266.7700","258.8400"
"2018/03/26","265.1100","141055300.0000","262.1300","265.4300","259.4100"
"2018/03/23","258.0500","183290800.0000","264.1700","265.0200","257.8300"
"2018/03/22","263.6700","147715200.0000","267.9100","268.8700","263.3600"
"2018/03/21","270.4300","78515750.0000","270.9000","273.2700","270.1900"
"2018/03/20","270.9500","59438810.0000","270.9400","271.6700","270.1800"
"2018/03/19","270.4900","108516000.0000","273.3500","274.3957","268.6200"
"2018/03/16","274.2000","99805450.0000","274.5000","275.3900","274.1400"
"2018/03/15","275.0000","80722410.0000","275.8800","276.6100","274.4300"
"2018/03/14","275.3000","105737200.0000","277.8100","278.0200","274.6700"
"2018/03/13","276.7200","89639370.0000","279.8400","280.4100","276.0300"
"2018/03/12","278.5200","71759540.0000","279.2000","279.9100","278.0801"
"2018/03/09","278.8700","113447100.0000","275.7000","278.8700","275.3400"
"2018/03/08","274.1000","66585910.0000","273.5500","274.2400","272.4200"
"2018/03/07","272.7800","86910350.0000","270.4200","273.1800","270.2000"
"2018/03/06","272.8800","75247670.0000","273.3000","273.3900","271.1800"
"2018/03/05","272.1900","96744650.0000","267.7300","272.8900","267.6100"
"2018/03/02","269.0800","138968000.0000","265.8000","269.7200","264.8200"
"2018/03/01","267.7000","176457600.0000","271.4100","273.1700","266.0000"
"2018/02/28","271.6500","121488400.0000","275.6800","276.1900","271.2900"
"2018/02/27","274.4300","98302760.0000","278.1100","278.9200","274.3600"
"2018/02/26","277.9000","85166420.0000","275.9300","278.0100","275.2600"
"2018/02/23","274.7100","92045650.0000","271.7900","274.7100","271.2500"
"2018/02/22","270.4000","108484800.0000","271.1000","273.0500","269.6400"
"2018/02/21","270.0500","97671020.0000","271.9000","274.7200","269.9400"
"2018/02/20","271.4000","85431860.0000","272.0300","273.6700","270.5000"
"2018/02/16","273.1100","160341500.0000","272.3200","275.3200","272.2700"
"2018/02/15","273.0300","110226800.0000","271.5700","273.0400","268.7700"
"2018/02/14","269.5900","120406400.0000","264.3100","270.0000","264.3000"
"2018/02/13","266.0000","81055770.0000","263.9700","266.6200","263.3100"
"2018/02/12","265.3400","140752800.0000","263.8300","267.0100","261.6644"
"2018/02/09","261.5000","283273100.0000","260.8000","263.6100","252.9200"
"2018/02/08","257.6300","244841900.0000","268.0100","268.1700","257.5900"
"2018/02/07","267.6700","166678000.0000","268.5000","272.3600","267.5800"
"2018/02/06","269.1300","353681700.0000","259.9400","269.7000","258.7000"
"2018/02/05","263.9300","292453400.0000","273.4500","275.8500","263.3100"
"2018/02/02","275.4500","172897100.0000","280.0800","280.2300","275.4100"
"2018/02/01","281.5800","89757330.0000","281.0700","283.0600","280.6800"
"2018/01/31","281.9000","118655600.0000","282.7300","283.3000","280.6800"
"2018/01/30","281.7600","131479000.0000","282.6000","284.7360","281.2200"
"2018/01/29","284.6800","89891820.0000","285.9300","286.4300","284.5000"
"2018/01/26","286.5800","107598800.0000","284.2500","286.6285","283.9600"
"2018/01/25","283.3000","84342320.0000","284.1600","284.2700","282.4050"
"2018/01/24","283.1800","134617200.0000","284.0200","284.7000","281.8400"
"2018/01/23","283.2900","96892090.0000","282.7400","283.6200","282.3700"
"2018/01/22","282.6900","91146870.0000","280.1700","282.6900","280.1100"
"2018/01/19","280.4100","141303100.0000","279.8000","280.4100","279.1400"
"2018/01/18","279.1400","100397600.0000","279.4800","279.9600","278.5800"
"2018/01/17","279.6100","112844200.0000","278.0300","280.0500","276.9700"
"2018/01/16","276.9700","106269200.0000","279.3500","280.0900","276.1800"
"2018/01/12","277.9200","90463870.0000","276.4200","278.1100","276.0819"
"2018/01/11","276.1200","62236650.0000","274.7500","276.1200","274.5600"
"2018/01/10","274.1200","69394220.0000","273.6800","274.4200","272.9200"
"2018/01/09","274.5400","57114650.0000","274.4000","275.2500","274.0810"
"2018/01/08","273.9200","57116850.0000","273.3100","274.1000","272.9800"
"2018/01/05","273.4200","82724160.0000","272.5100","273.5600","271.9500"
"2018/01/04","271.6100","80455860.0000","271.2000","272.1600","270.5447"
"2018/01/03","270.4700","89133670.0000","268.9600","270.6400","268.9600"
"2018/01/02","268.7700","86408820.0000","267.8400","268.8100","267.4000"
"2017/12/29","266.8600","95651160.0000","268.5300","268.5500","266.6400"
"2017/12/28","267.8700","44797000.0000","267.8900","267.9200","267.4500"
"2017/12/27","267.3200","57677280.0000","267.3800","267.7300","267.0100"
"2017/12/26","267.1900","45106430.0000","267.0500","267.4377","266.8850"
"2017/12/22","267.5100","78657310.0000","267.6000","267.6350","266.9000"
"2017/12/21","267.5800","65925710.0000","267.7400","268.3850","267.3000"
"2017/12/20","267.0300","76604710.0000","268.2700","268.3300","266.6900"
"2017/12/19","267.1700","78001550.0000","268.4800","268.5300","267.0900"
"2017/12/18","268.2000","83360810.0000","268.1000","268.6000","267.9800"
"2017/12/15","266.5100","142356000.0000","265.4500","267.0400","265.3900"
"2017/12/14","265.6600","99647210.0000","267.0900","267.2200","265.6000"
"2017/12/13","266.7500","102819600.0000","267.0600","267.5600","266.6500"
"2017/12/12","266.7800","84494560.0000","266.5700","267.3200","266.3450"
"2017/12/11","266.3100","82848590.0000","265.5800","266.3800","265.4793"
"2017/12/08","265.5100","76301480.0000","264.9900","265.5200","264.0315"
"2017/12/07","264.0700","76832360.0000","263.0900","264.4300","262.9400"
"2017/12/06","263.2400","75513050.0000","262.8700","263.7300","262.7100"
"2017/12/05","263.1900","77839930.0000","264.4300","265.1500","263.0400"
"2017/12/04","264.1400","93827280.0000","266.3100","266.8000","264.0800"
"2017/12/01","264.4600","163874800.0000","264.7600","265.3100","260.7600"
"2017/11/30","265.0100","126401000.0000","263.7600","266.0500","263.6700"
"2017/11/29","262.7100","77179920.0000","263.0200","263.6300","262.2000"
"2017/11/28","262.8700","98662580.0000","260.7600","262.9000","260.6550"
"2017/11/27","260.2300","52070370.0000","260.4100","260.7500","260.0000"
"2017/11/24","260.3600","27856510.0000","260.3200","260.4800","260.1600"
"2017/11/22","259.7600","44890370.0000","260.0000","260.1500","259.5700"
"2017/11/21","259.9900","68920380.0000","259.1800","260.2000","258.2627"
"2017/11/20","258.3000","47835520.0000","258.1400","258.5250","257.8600"
"2017/11/17","257.8600","75679800.0000","258.2200","258.5882","257.7700"
"2017/11/16","258.6200","67487850.0000","257.5200","259.0400","257.4748"
"2017/11/15","256.4400","80248990.0000","256.6200","257.2200","255.6300"
"2017/11/14","257.7300","61082090.0000","257.4100","257.8500","256.5200"
"2017/11/13","258.3300","50040800.0000","257.3100","258.5900","257.2700"
